item_id,item_name,category,household_id,purchase_date,expiry_date,purchase_quantity,unit,daily_usage_rate,shelf_life_days,wasted_quantity,wasted_pct,target_label
ITM003,Bread,Bakery,HH008,2026-04-07,2026-04-12,4.32,loaves,0.517,5,3.14,0.727,High Risk
ITM008,Yogurt,Dairy,HH003,2026-03-31,2026-04-14,2.99,cups,0.649,14,0.05,0.017,Low Risk
ITM001,Milk,Dairy,HH010,2026-01-17,2026-01-24,4.39,liters,0.32,7,3.51,0.8,High Risk
ITM014,Orange Juice,Beverages,HH010,2026-02-28,2026-03-10,1.88,liters,0.118,10,0.54,0.287,Medium Risk
ITM010,Bananas,Produce,HH001,2026-04-29,2026-05-04,2.51,kg,0.4,5,0.37,0.147,Medium Risk
ITM011,Cereal,Pantry,HH006,2026-02-06,2026-06-06,0.75,boxes,0.043,120,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH003,2026-04-14,2026-08-12,0.66,boxes,0.115,120,0.07,0.106,Medium Risk
ITM003,Bread,Bakery,HH012,2026-02-10,2026-02-15,2.49,loaves,0.307,5,0.92,0.369,Medium Risk
ITM005,Ice Cream,Frozen,HH014,2026-01-02,2026-04-02,1.1,tubs,0.179,90,0.22,0.2,Medium Risk
ITM002,Eggs,Dairy,HH016,2026-05-21,2026-06-11,1.58,dozen,0.385,21,0.22,0.139,Medium Risk
ITM001,Milk,Dairy,HH015,2026-05-22,2026-05-29,2.89,liters,0.419,7,0.0,0.0,Low Risk
ITM008,Yogurt,Dairy,HH002,2026-03-20,2026-04-03,1.67,cups,0.327,14,0.0,0.0,Low Risk
ITM012,Cooking Oil,Pantry,HH004,2026-03-19,2026-09-15,0.45,liters,0.072,180,0.12,0.267,Medium Risk
ITM008,Yogurt,Dairy,HH005,2026-04-23,2026-05-07,3.74,cups,0.256,14,0.75,0.201,Medium Risk
ITM005,Ice Cream,Frozen,HH007,2026-04-16,2026-07-15,0.76,tubs,0.202,90,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH007,2026-03-05,2026-03-15,1.8,liters,0.16,10,0.18,0.1,Low Risk
ITM003,Bread,Bakery,HH008,2026-02-12,2026-02-17,4.47,loaves,0.577,5,2.59,0.579,High Risk
ITM008,Yogurt,Dairy,HH013,2026-01-21,2026-02-04,2.49,cups,0.409,14,0.03,0.012,Low Risk
ITM002,Eggs,Dairy,HH016,2026-05-24,2026-06-14,2.79,dozen,0.217,21,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH006,2026-03-24,2026-08-21,0.47,bags,0.121,150,0.0,0.0,Low Risk
ITM002,Eggs,Dairy,HH007,2026-02-28,2026-03-21,2.55,dozen,0.201,21,0.19,0.075,Low Risk
ITM011,Cereal,Pantry,HH001,2026-03-21,2026-07-19,0.81,boxes,0.066,120,0.12,0.148,Medium Risk
ITM006,Chicken Breast,Meat,HH002,2026-04-07,2026-04-11,1.67,kg,0.305,4,0.26,0.156,Medium Risk
ITM011,Cereal,Pantry,HH017,2026-04-24,2026-08-22,0.54,boxes,0.054,120,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH015,2026-05-29,2026-10-26,1.47,bags,0.078,150,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH020,2026-03-25,2026-04-04,2.02,liters,0.106,10,1.56,0.772,High Risk
ITM008,Yogurt,Dairy,HH020,2026-03-29,2026-04-12,2.59,cups,0.168,14,0.34,0.131,Medium Risk
ITM002,Eggs,Dairy,HH017,2026-03-14,2026-04-04,2.2,dozen,0.353,21,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH005,2026-01-08,2026-01-18,2.57,liters,0.174,10,1.17,0.455,Medium Risk
ITM012,Cooking Oil,Pantry,HH013,2026-05-21,2026-11-17,0.28,liters,0.032,180,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH018,2026-05-18,2026-09-15,0.61,boxes,0.126,120,0.0,0.0,Low Risk
ITM003,Bread,Bakery,HH012,2026-04-09,2026-04-14,2.72,loaves,0.515,5,0.06,0.022,Low Risk
ITM005,Ice Cream,Frozen,HH006,2026-04-08,2026-07-07,1.24,tubs,0.099,90,0.0,0.0,Low Risk
ITM002,Eggs,Dairy,HH015,2026-01-28,2026-02-18,2.36,dozen,0.134,21,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH017,2026-04-14,2026-04-21,4.77,liters,0.504,7,2.38,0.499,Medium Risk
ITM005,Ice Cream,Frozen,HH016,2026-02-15,2026-05-16,1.02,tubs,0.175,90,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH020,2026-03-28,2026-06-26,1.16,tubs,0.156,90,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH014,2026-03-23,2026-07-21,0.34,boxes,0.165,120,0.09,0.265,Medium Risk
ITM011,Cereal,Pantry,HH012,2026-02-09,2026-06-09,0.32,boxes,0.127,120,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH010,2026-04-28,2026-05-08,1.89,liters,0.207,10,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH008,2026-03-25,2026-07-23,1.0,boxes,0.133,120,0.08,0.08,Low Risk
ITM011,Cereal,Pantry,HH014,2026-04-21,2026-08-19,0.53,boxes,0.163,120,0.03,0.057,Low Risk
ITM008,Yogurt,Dairy,HH001,2026-03-12,2026-03-26,2.41,cups,0.438,14,0.19,0.079,Low Risk
ITM003,Bread,Bakery,HH005,2026-05-05,2026-05-10,1.74,loaves,0.167,5,1.57,0.902,High Risk
ITM001,Milk,Dairy,HH014,2026-05-08,2026-05-15,5.45,liters,0.559,7,1.65,0.303,Medium Risk
ITM013,Frozen Peas,Frozen,HH006,2026-04-07,2026-09-04,1.42,bags,0.134,150,0.0,0.0,Low Risk
ITM003,Bread,Bakery,HH016,2026-04-23,2026-04-28,4.25,loaves,0.45,5,2.02,0.475,Medium Risk
ITM005,Ice Cream,Frozen,HH008,2026-02-06,2026-05-07,1.79,tubs,0.152,90,0.01,0.006,Low Risk
ITM008,Yogurt,Dairy,HH001,2026-01-11,2026-01-25,3.81,cups,0.461,14,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH007,2026-05-17,2026-05-22,3.98,kg,0.415,5,2.73,0.686,High Risk
ITM006,Chicken Breast,Meat,HH013,2026-04-11,2026-04-15,2.48,kg,0.2,4,2.48,1.0,High Risk
ITM001,Milk,Dairy,HH016,2026-01-21,2026-01-28,4.85,liters,0.468,7,1.04,0.214,Medium Risk
ITM001,Milk,Dairy,HH002,2026-04-11,2026-04-18,3.51,liters,0.589,7,0.75,0.214,Medium Risk
ITM006,Chicken Breast,Meat,HH014,2026-04-08,2026-04-12,1.73,kg,0.514,4,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH003,2026-02-14,2026-02-19,1.91,kg,0.332,5,0.29,0.152,Medium Risk
ITM002,Eggs,Dairy,HH001,2026-04-19,2026-05-10,1.41,dozen,0.378,21,0.23,0.163,Medium Risk
ITM010,Bananas,Produce,HH016,2026-03-06,2026-03-11,2.25,kg,0.352,5,0.48,0.213,Medium Risk
ITM002,Eggs,Dairy,HH014,2026-01-17,2026-02-07,3.4,dozen,0.59,21,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH013,2026-04-13,2026-04-17,2.24,kg,0.417,4,0.97,0.433,Medium Risk
ITM002,Eggs,Dairy,HH014,2026-01-21,2026-02-11,3.1,dozen,0.635,21,0.67,0.216,Medium Risk
ITM002,Eggs,Dairy,HH015,2026-01-25,2026-02-15,2.44,dozen,0.264,21,0.0,0.0,Low Risk
ITM003,Bread,Bakery,HH013,2026-02-22,2026-02-27,3.7,loaves,0.466,5,1.79,0.484,Medium Risk
ITM011,Cereal,Pantry,HH016,2026-04-12,2026-08-10,0.79,boxes,0.089,120,0.1,0.127,Medium Risk
ITM014,Orange Juice,Beverages,HH018,2026-05-04,2026-05-14,1.48,liters,0.2,10,0.0,0.0,Low Risk
ITM012,Cooking Oil,Pantry,HH002,2026-01-10,2026-07-09,0.18,liters,0.06,180,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH001,2026-04-21,2026-04-26,2.01,kg,0.304,5,0.61,0.303,Medium Risk
ITM013,Frozen Peas,Frozen,HH013,2026-05-29,2026-10-26,0.93,bags,0.116,150,0.22,0.237,Medium Risk
ITM004,Rice,Grains,HH017,2026-02-01,2027-02-01,0.89,kg,0.106,365,0.04,0.045,Low Risk
ITM002,Eggs,Dairy,HH019,2026-01-05,2026-01-26,1.59,dozen,0.313,21,0.16,0.101,Medium Risk
ITM003,Bread,Bakery,HH007,2026-04-01,2026-04-06,4.37,loaves,0.584,5,2.38,0.545,High Risk
ITM012,Cooking Oil,Pantry,HH019,2026-01-30,2026-07-29,0.38,liters,0.054,180,0.07,0.184,Medium Risk
ITM013,Frozen Peas,Frozen,HH009,2026-04-04,2026-09-01,0.82,bags,0.107,150,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH012,2026-03-13,2026-07-11,0.93,boxes,0.063,120,0.06,0.065,Low Risk
ITM003,Bread,Bakery,HH015,2026-02-25,2026-03-02,3.89,loaves,0.17,5,3.89,1.0,High Risk
ITM011,Cereal,Pantry,HH009,2026-02-02,2026-06-02,0.38,boxes,0.116,120,0.03,0.079,Low Risk
ITM003,Bread,Bakery,HH011,2026-01-21,2026-01-26,3.19,loaves,0.361,5,2.5,0.784,High Risk
ITM002,Eggs,Dairy,HH015,2026-01-25,2026-02-15,2.54,dozen,0.124,21,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH002,2026-02-20,2026-02-27,5.59,liters,0.537,7,1.14,0.204,Medium Risk
ITM006,Chicken Breast,Meat,HH012,2026-04-19,2026-04-23,1.38,kg,0.194,4,0.95,0.688,High Risk
ITM006,Chicken Breast,Meat,HH010,2026-05-13,2026-05-17,1.58,kg,0.161,4,1.58,1.0,High Risk
ITM001,Milk,Dairy,HH010,2026-04-11,2026-04-18,2.38,liters,0.264,7,0.58,0.244,Medium Risk
ITM014,Orange Juice,Beverages,HH009,2026-01-13,2026-01-23,1.69,liters,0.437,10,0.0,0.0,Low Risk
ITM012,Cooking Oil,Pantry,HH018,2026-02-15,2026-08-14,0.42,liters,0.057,180,0.03,0.071,Low Risk
ITM009,Cheese,Dairy,HH006,2026-01-26,2026-02-25,0.5,kg,0.069,30,0.04,0.08,Low Risk
ITM005,Ice Cream,Frozen,HH013,2026-04-23,2026-07-22,0.96,tubs,0.133,90,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH001,2026-02-19,2026-04-20,0.54,kg,0.036,60,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH001,2026-01-15,2026-04-15,0.83,tubs,0.103,90,0.06,0.072,Low Risk
ITM014,Orange Juice,Beverages,HH016,2026-02-27,2026-03-09,1.44,liters,0.235,10,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH006,2026-04-13,2026-06-12,0.54,kg,0.039,60,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH005,2026-04-23,2026-04-30,3.0,liters,0.334,7,0.0,0.0,Low Risk
ITM012,Cooking Oil,Pantry,HH014,2026-01-31,2026-07-30,0.38,liters,0.044,180,0.0,0.0,Low Risk
ITM007,Tomatoes,Produce,HH002,2026-01-15,2026-01-21,3.36,kg,0.287,6,2.82,0.839,High Risk
ITM009,Cheese,Dairy,HH010,2026-05-02,2026-06-01,0.34,kg,0.043,30,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH005,2026-04-07,2026-04-14,2.59,liters,0.321,7,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH012,2026-02-18,2026-06-18,0.93,boxes,0.088,120,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH018,2026-04-16,2026-04-20,2.54,kg,0.306,4,1.9,0.748,High Risk
ITM009,Cheese,Dairy,HH002,2026-01-02,2026-02-01,0.81,kg,0.102,30,0.05,0.062,Low Risk
ITM005,Ice Cream,Frozen,HH014,2026-01-01,2026-04-01,1.5,tubs,0.266,90,0.1,0.067,Low Risk
ITM006,Chicken Breast,Meat,HH014,2026-05-19,2026-05-23,2.44,kg,0.373,4,0.96,0.393,Medium Risk
ITM004,Rice,Grains,HH010,2026-02-23,2027-02-23,1.28,kg,0.059,365,0.13,0.102,Medium Risk
ITM003,Bread,Bakery,HH005,2026-01-24,2026-01-29,4.05,loaves,0.215,5,4.05,1.0,High Risk
ITM012,Cooking Oil,Pantry,HH001,2026-01-05,2026-07-04,0.39,liters,0.037,180,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH015,2026-03-18,2026-07-16,0.59,boxes,0.07,120,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH004,2026-04-17,2026-09-14,1.03,bags,0.26,150,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH014,2026-05-30,2026-08-28,2.0,tubs,0.157,90,0.0,0.0,Low Risk
ITM009,Cheese,Dairy,HH018,2026-02-04,2026-03-06,0.92,kg,0.136,30,0.03,0.033,Low Risk
ITM009,Cheese,Dairy,HH010,2026-04-17,2026-05-17,0.69,kg,0.044,30,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH016,2026-03-18,2026-07-16,0.48,boxes,0.083,120,0.03,0.062,Low Risk
ITM009,Cheese,Dairy,HH015,2026-05-28,2026-06-27,0.74,kg,0.038,30,0.0,0.0,Low Risk
ITM008,Yogurt,Dairy,HH002,2026-04-19,2026-05-03,4.1,cups,0.437,14,0.06,0.015,Low Risk
ITM003,Bread,Bakery,HH011,2026-04-23,2026-04-28,1.58,loaves,0.332,5,0.04,0.025,Low Risk
ITM004,Rice,Grains,HH020,2026-02-18,2027-02-18,1.24,kg,0.091,365,0.23,0.185,Medium Risk
ITM002,Eggs,Dairy,HH001,2026-01-30,2026-02-20,2.3,dozen,0.196,21,0.0,0.0,Low Risk
ITM007,Tomatoes,Produce,HH015,2026-05-24,2026-05-30,1.35,kg,0.144,6,0.65,0.481,Medium Risk
ITM013,Frozen Peas,Frozen,HH020,2026-04-14,2026-09-11,1.43,bags,0.077,150,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH018,2026-02-24,2026-04-25,0.29,kg,0.102,60,0.0,0.0,Low Risk
ITM004,Rice,Grains,HH016,2026-01-13,2027-01-13,1.31,kg,0.093,365,0.04,0.031,Low Risk
ITM010,Bananas,Produce,HH015,2026-04-24,2026-04-29,2.59,kg,0.154,5,2.59,1.0,High Risk
ITM004,Rice,Grains,HH017,2026-02-08,2027-02-08,1.25,kg,0.161,365,0.14,0.112,Medium Risk
ITM014,Orange Juice,Beverages,HH004,2026-01-31,2026-02-10,2.12,liters,0.41,10,0.14,0.066,Low Risk
ITM009,Cheese,Dairy,HH001,2026-02-12,2026-03-14,0.81,kg,0.041,30,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH013,2026-01-11,2026-03-12,0.58,kg,0.083,60,0.0,0.0,Low Risk
ITM002,Eggs,Dairy,HH012,2026-03-20,2026-04-10,2.23,dozen,0.474,21,0.0,0.0,Low Risk
ITM012,Cooking Oil,Pantry,HH003,2026-04-09,2026-10-06,0.24,liters,0.078,180,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH018,2026-03-22,2026-06-20,1.76,tubs,0.162,90,0.04,0.023,Low Risk
ITM001,Milk,Dairy,HH002,2026-04-16,2026-04-23,3.52,liters,0.417,7,0.58,0.165,Medium Risk
ITM011,Cereal,Pantry,HH006,2026-01-07,2026-05-07,0.38,boxes,0.066,120,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH009,2026-05-29,2026-06-03,2.59,kg,0.471,5,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH019,2026-05-07,2026-08-05,1.36,tubs,0.201,90,0.2,0.147,Medium Risk
ITM011,Cereal,Pantry,HH017,2026-05-06,2026-09-03,0.99,boxes,0.064,120,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH018,2026-04-19,2026-06-18,0.64,kg,0.056,60,0.11,0.172,Medium Risk
ITM013,Frozen Peas,Frozen,HH012,2026-03-12,2026-08-09,0.84,bags,0.105,150,0.0,0.0,Low Risk
ITM003,Bread,Bakery,HH011,2026-03-03,2026-03-08,3.28,loaves,0.215,5,3.22,0.982,High Risk
ITM003,Bread,Bakery,HH005,2026-05-25,2026-05-30,4.09,loaves,0.166,5,3.6,0.88,High Risk
ITM012,Cooking Oil,Pantry,HH004,2026-02-14,2026-08-13,0.25,liters,0.087,180,0.03,0.12,Medium Risk
ITM008,Yogurt,Dairy,HH008,2026-05-13,2026-05-27,3.95,cups,0.474,14,0.0,0.0,Low Risk
ITM004,Rice,Grains,HH009,2026-05-12,2027-05-12,1.28,kg,0.153,365,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH004,2026-05-11,2026-09-08,0.46,boxes,0.174,120,0.0,0.0,Low Risk
ITM003,Bread,Bakery,HH009,2026-02-17,2026-02-22,3.14,loaves,0.889,5,0.0,0.0,Low Risk
ITM007,Tomatoes,Produce,HH007,2026-04-02,2026-04-08,1.77,kg,0.212,6,0.45,0.254,Medium Risk
ITM011,Cereal,Pantry,HH012,2026-03-11,2026-07-09,0.48,boxes,0.129,120,0.08,0.167,Medium Risk
ITM010,Bananas,Produce,HH018,2026-05-05,2026-05-10,1.3,kg,0.507,5,0.13,0.1,Medium Risk
ITM011,Cereal,Pantry,HH011,2026-02-12,2026-06-12,0.81,boxes,0.063,120,0.11,0.136,Medium Risk
ITM013,Frozen Peas,Frozen,HH012,2026-03-04,2026-08-01,0.52,bags,0.155,150,0.05,0.096,Low Risk
ITM008,Yogurt,Dairy,HH002,2026-04-09,2026-04-23,4.44,cups,0.489,14,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH020,2026-02-05,2026-06-05,0.44,boxes,0.049,120,0.0,0.0,Low Risk
ITM008,Yogurt,Dairy,HH007,2026-02-04,2026-02-18,3.6,cups,0.334,14,1.09,0.303,Medium Risk
ITM008,Yogurt,Dairy,HH008,2026-04-05,2026-04-19,3.57,cups,0.529,14,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH011,2026-01-23,2026-01-27,2.38,kg,0.262,4,2.38,1.0,High Risk
ITM012,Cooking Oil,Pantry,HH006,2026-04-27,2026-10-24,0.27,liters,0.027,180,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH017,2026-05-23,2026-06-02,2.67,liters,0.285,10,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH007,2026-03-25,2026-03-30,3.01,kg,0.218,5,3.01,1.0,High Risk
ITM013,Frozen Peas,Frozen,HH012,2026-04-09,2026-09-06,0.57,bags,0.117,150,0.05,0.088,Low Risk
ITM004,Rice,Grains,HH007,2026-04-01,2027-04-01,1.02,kg,0.185,365,0.03,0.029,Low Risk
ITM013,Frozen Peas,Frozen,HH015,2026-03-24,2026-08-21,1.18,bags,0.068,150,0.09,0.076,Low Risk
ITM010,Bananas,Produce,HH011,2026-01-18,2026-01-23,3.02,kg,0.237,5,2.83,0.937,High Risk
ITM006,Chicken Breast,Meat,HH019,2026-01-07,2026-01-11,1.46,kg,0.383,4,0.12,0.082,Low Risk
ITM011,Cereal,Pantry,HH004,2026-05-08,2026-09-05,0.86,boxes,0.105,120,0.0,0.0,Low Risk
ITM009,Cheese,Dairy,HH003,2026-01-06,2026-02-05,0.32,kg,0.09,30,0.0,0.0,Low Risk
ITM005,Ice Cream,Frozen,HH003,2026-02-06,2026-05-07,0.62,tubs,0.122,90,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH015,2026-01-14,2026-03-15,0.68,kg,0.051,60,0.02,0.029,Low Risk
ITM011,Cereal,Pantry,HH017,2026-05-19,2026-09-16,0.6,boxes,0.086,120,0.01,0.017,Low Risk
ITM014,Orange Juice,Beverages,HH005,2026-02-11,2026-02-21,2.7,liters,0.165,10,1.54,0.57,High Risk
ITM005,Ice Cream,Frozen,HH020,2026-05-24,2026-08-22,1.84,tubs,0.145,90,0.4,0.217,Medium Risk
ITM014,Orange Juice,Beverages,HH017,2026-01-21,2026-01-31,2.35,liters,0.161,10,0.78,0.332,Medium Risk
ITM010,Bananas,Produce,HH017,2026-02-02,2026-02-07,3.8,kg,0.38,5,3.41,0.897,High Risk
ITM003,Bread,Bakery,HH005,2026-03-23,2026-03-28,3.35,loaves,0.345,5,1.91,0.57,High Risk
ITM007,Tomatoes,Produce,HH012,2026-01-17,2026-01-23,2.15,kg,0.258,6,0.73,0.34,Medium Risk
ITM005,Ice Cream,Frozen,HH010,2026-04-17,2026-07-16,0.89,tubs,0.123,90,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH008,2026-01-08,2026-01-15,4.31,liters,0.65,7,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH001,2026-05-10,2026-10-07,1.27,bags,0.073,150,0.03,0.024,Low Risk
ITM006,Chicken Breast,Meat,HH007,2026-03-23,2026-03-27,2.49,kg,0.384,4,1.26,0.506,High Risk
ITM014,Orange Juice,Beverages,HH012,2026-02-19,2026-03-01,1.08,liters,0.34,10,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH001,2026-05-11,2026-05-15,2.57,kg,0.243,4,1.84,0.716,High Risk
ITM010,Bananas,Produce,HH017,2026-03-21,2026-03-26,3.26,kg,0.258,5,3.26,1.0,High Risk
ITM001,Milk,Dairy,HH015,2026-02-16,2026-02-23,3.17,liters,0.235,7,2.1,0.662,High Risk
ITM014,Orange Juice,Beverages,HH012,2026-04-01,2026-04-11,2.5,liters,0.348,10,0.04,0.016,Low Risk
ITM014,Orange Juice,Beverages,HH012,2026-05-01,2026-05-11,1.15,liters,0.195,10,0.01,0.009,Low Risk
ITM013,Frozen Peas,Frozen,HH007,2026-04-29,2026-09-26,1.0,bags,0.18,150,0.0,0.0,Low Risk
ITM014,Orange Juice,Beverages,HH016,2026-05-16,2026-05-26,1.05,liters,0.206,10,0.01,0.01,Low Risk
ITM006,Chicken Breast,Meat,HH009,2026-05-08,2026-05-12,1.66,kg,0.489,4,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH018,2026-05-02,2026-08-30,0.68,boxes,0.121,120,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH012,2026-04-08,2026-08-06,0.38,boxes,0.111,120,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH002,2026-01-02,2026-05-02,0.75,boxes,0.099,120,0.13,0.173,Medium Risk
ITM005,Ice Cream,Frozen,HH020,2026-04-26,2026-07-25,1.96,tubs,0.115,90,0.36,0.184,Medium Risk
ITM007,Tomatoes,Produce,HH020,2026-04-12,2026-04-18,1.53,kg,0.267,6,0.0,0.0,Low Risk
ITM015,Butter,Dairy,HH001,2026-01-31,2026-04-01,0.31,kg,0.037,60,0.01,0.032,Low Risk
ITM010,Bananas,Produce,HH020,2026-05-13,2026-05-18,1.29,kg,0.223,5,0.0,0.0,Low Risk
ITM001,Milk,Dairy,HH019,2026-05-12,2026-05-19,5.67,liters,0.689,7,0.02,0.004,Low Risk
ITM014,Orange Juice,Beverages,HH001,2026-05-04,2026-05-14,1.15,liters,0.142,10,0.0,0.0,Low Risk
ITM002,Eggs,Dairy,HH001,2026-05-13,2026-06-03,1.75,dozen,0.182,21,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH009,2026-01-25,2026-01-29,1.81,kg,0.296,4,0.27,0.149,Medium Risk
ITM008,Yogurt,Dairy,HH016,2026-02-24,2026-03-10,3.5,cups,0.363,14,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH019,2026-03-02,2026-03-07,3.73,kg,0.648,5,0.12,0.032,Low Risk
ITM014,Orange Juice,Beverages,HH017,2026-03-26,2026-04-05,2.58,liters,0.346,10,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH020,2026-01-09,2026-06-08,0.85,bags,0.115,150,0.09,0.106,Medium Risk
ITM005,Ice Cream,Frozen,HH014,2026-02-07,2026-05-08,0.9,tubs,0.359,90,0.32,0.356,Medium Risk
ITM006,Chicken Breast,Meat,HH004,2026-03-26,2026-03-30,1.41,kg,0.535,4,0.0,0.0,Low Risk
